
約定履歴照会

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年01月01日","2025年07月08日","8549","1","8549"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/01/08","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",400,2409.8,55,--,"2025/01/10",4465
"2025/01/08","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2409.7,13,--,"2025/01/10",507
"2025/01/08","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",100,2409.8,13,--,"2025/01/10",1067
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",400,2396.5,55,--,"2025/01/10",-12055
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",100,2396.5,13,--,"2025/01/10",-2963
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",500,2396.5,69,--,"2025/01/10",-8319
"2025/01/08","セブン＆アイ・ホールディングス","3382","PTS（X）",信用返済売,"無期限"," 特定 ","申告",400,2409.6,55,--,"2025/01/10",1985
"2025/01/08","東京エレクトロン","8035","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,27540,168,--,"2025/01/10",51642
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",400,2426.5,--,--,"2025/01/10",--
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",500,2413,--,--,"2025/01/10",--
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",500,2404.5,--,--,"2025/01/10",--
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",100,2399,--,--,"2025/01/10",--
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",100,2426,--,--,"2025/01/10",--
"2025/01/08","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",400,2398.5,--,--,"2025/01/10",--
"2025/01/08","東京エレクトロン","8035","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,27021.9,--,--,"2025/01/10",--
"2025/01/09","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",300,6452,--,--,"2025/01/14",--
"2025/01/09","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,6453,--,--,"2025/01/14",--
"2025/01/09","フジクラ","5803","PTS（X）",信用新規売,"6ヶ月"," 特定 ","--",100,6449.9,--,--,"2025/01/14",--
"2025/01/09","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",500,2374.5,68,--,"2025/01/14",-10318
"2025/01/09","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",500,2374.5,68,--,"2025/01/14",-568
"2025/01/09","セブン＆アイ・ホールディングス","3382","東証",信用返済売,"無期限"," 特定 ","申告",500,2374.5,68,--,"2025/01/14",-5318
"2025/01/09","メルカリ","4385","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,1676.5,21,--,"2025/01/14",-4521
"2025/01/09","メルカリ","4385","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1676,10,--,"2025/01/14",-2360
"2025/01/09","メルカリ","4385","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1676,10,--,"2025/01/14",-2310
"2025/01/09","メルカリ","4385","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,1676,10,--,"2025/01/14",-2310
"2025/01/09","ジャパンエンジンコーポレーション","6016","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,4210,184,--,"2025/01/14",-1084
"2025/01/09","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9874,63,--,"2025/01/14",-23023
"2025/01/09","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9874,62,--,"2025/01/14",-6462
"2025/01/09","東京エレクトロン","8035","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,27072.5,168,--,"2025/01/14",11632
"2025/01/09","東京エレクトロン","8035","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,27020.8,169,--,"2025/01/14",-4869
"2025/01/09","東京エレクトロン","8035","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,27035,170,--,"2025/01/14",-30650
"2025/01/09","商船三井","9104","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,5391,33,--,"2025/01/14",-1633
"2025/01/09","商船三井","9104","東証",信用返済売,"6ヶ月"," 特定 ","申告",300,5421,101,--,"2025/01/14",-1181
"2025/01/09","商船三井","9104","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,5391,33,--,"2025/01/14",-1623
"2025/01/09","商船三井","9104","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,5391,33,--,"2025/01/14",-1623
"2025/01/09","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",500,2395,--,--,"2025/01/14",--
"2025/01/09","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",500,2385,--,--,"2025/01/14",--
"2025/01/09","セブン＆アイ・ホールディングス","3382","東証",信用新規買,"無期限"," 特定 ","--",500,2375.5,--,--,"2025/01/14",--
